,Actor,Least_Array_Diff,Best_Match_Actor
20,KimShiHoo,0.3740848898887634,LeeMinHo
22,CheonSeungHo,0.3596556782722473,ParkBoGum
23,JungKyungHo,0.268684446811676,SeoKangJoon
26,ParkJiBin,0.324518620967865,JungHaeIn
32,WiHaJoon,0.34351015090942383,Rain
63,KimMyungMin,0.4119119644165039,ChunJungMyung
64,HongJongHyun,0.31006085872650146,ParkBoGum
67,GuWon,0.28781479597091675,SeoInGuk
74,LeeSangYeob,0.2838830351829529,ParkJinYoung
75,KangHoon,0.31334424018859863,SeoKangJoon
76,SungHyuk,0.35168778896331787,ChaSeungWon
81,HwiYoung,0.3859326243400574,LeeJoonGi
87,One,0.3794286847114563,ParkHaeJin
92,ParkJiHoon,0.3455321788787842,SongKang
96,SongChangEui,0.2858324646949768,SoJiSub
108,ChoiDaniel,0.35803651809692383,KimJungHyun
111,KimJungHoon,0.3072137236595154,SongJoongKi
118,ChoiWonYoung,0.3491553068161011,KimNamGil
152,YookSungJae,0.2925427556037903,LeeMinKi
160,LeeHyunJin,0.24220800399780273,ChoiJinHyuk
170,JooSangWook,0.29120922088623047,JiSung
173,JoHyunJae,0.30528682470321655,JiSung
175,LeeSooHyuk,0.3719043731689453,JiChangWook
180,KimJaeWon,0.308104932308197,Rain
183,BaeSooBin,0.3476070761680603,ChaSeungWon
184,KangKiYoung,0.2483682632446289,Rain
202,KimJooHeon,0.3039082884788513,KimNamGil
204,KimJoonSung,0.29690372943878174,KimNamGil
215,YoonDooJoon,0.27327126264572144,LeeSeoJin
217,ChoiChanHo,0.3231567144393921,KimJungHyun
225,LeeKangMin,0.259376585483551,ParkBoGum
230,OhMinSuk,0.35896027088165283,SongKang
232,ChoiByungChan,0.30134642124176025,SongJoongKi
253,SonWooHyun,0.37128180265426636,YeonSeungHo
276,JinHyuk,0.3233621120452881,OkTaecYeon
278,YoonSangHoon,0.2722824811935425,Rain
279,LeeHeeJoon,0.3555406332015991,LeeJunHo
290,Ryeoun,0.330752432346344,SeoInGuk
304,ChoiMinSung,0.2785504460334778,HyunBin
311,KwakDongYeon,0.27964580059051514,YooJun
322,EricMun,0.3594876527786255,LeeJeHoon
336,HongBin,0.2842773199081421,ParkBoGum
348,KimJaeYoung,0.37446129322052,SeoInGuk
349,LeePilMo,0.31274205446243286,LeeJongHyun
352,OhManSuk,0.2956331968307495,KimDongWook
356,ChoiTaeJoon,0.3231915235519409,ParkSeoJoon
358,LeeJinHyuk,0.34290921688079834,ParkHyungShik
379,LeeJaeWook,0.32900917530059814,ParkBoGum
383,LeeHyunWoo,0.30637311935424805,ParkBoGum
403,N,0.2582353949546814,LeeMinKi
405,MoonYongSuk,0.3925933241844177,LeeJongHyun
408,JangWooYoung,0.3725751042366028,YeonSeungHo
414,LeeSeungJun,0.3071208596229553,ParkYooChun
425,RyuJoonYeol,0.2866462469100952,WooDoHwan
463,MinHyoGi,0.32693374156951904,SongJoongKi
476,KimMinKyu,0.353909969329834,LeeJeHoon
478,BaeInHyuk,0.3209754228591919,ParkYooChun
479,YeonJungHoon,0.3842173218727112,ChunJungMyung
480,KimJinKwon,0.35471880435943604,AhnHyoSeop
487,Chani,0.41271865367889404,YoonHyunMin
492,KimSungJoo,0.34063929319381714,JoInSung
498,MarkTuan,0.3848240375518799,LeeJunHo
500,YoonPark,0.28061819076538086,Rain
524,LeeJooHyung,0.3406464457511902,LeeDongWook
528,WonHyungHoon,0.3112412691116333,SongKang
529,JoHanSun,0.42461127042770386,OkTaecYeon
542,ZuHo,0.31074845790863037,SongJoongKi
551,ShimHeeSub,0.3451195955276489,AhnHyoSeop
557,GoJoon,0.3159279227256775,TakWooSuk
